Index|Label|First piece|Gold|Prediction|Mistral
96||Muriel has in her living room a famous painting of the ballerina Theresa Rubio by Cecile d'Arblay.|It is very characteristic of her later work --- impetuous, almost crude, rather than realistic.|"The ballerina Theresa Rubio was the star of the Paris Opera when the painting was done in the early 1880s. 
            
            The painting was done in the style of the Impressionists, and it is said that the artist, Cecile d'Arblay, was influenced by the paintings of the French painter, Paul Dupont. 
            
            The painting has been in the family of the late baron"|No (no match)
97||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|The Winograd Schema Challenge (WSC) is a natural language inference (NLI) task that is a subset of the SuperGLue benchmark. The WSC is a binary classification task where the goal is to determine whether a given sentence is a factual statement about a named entity (such as a person, place, or organization) or a non-factual statement. The WSC is split into two parts: the training set and the test set.|No (no match)
98||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"the Soviet Union's ambassador to the United Nations, 
            FINAL INSTANCE:Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, was one of the key players in the development of the nuclear bomb."|No (not a near-exact match)
99||Mr.|Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever projects he started were just more proofs of his innate idiocy.|"The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark.
            
            The first piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark.
            
            The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark.
            
            The first piece"|No (no match)
100||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|"Muriel has a famous painting of a ballerina
            
            The first piece is the entire sentence. The second piece is just a part of the sentence."|No (not a near-exact match)
101||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|No (no match)
102||The Harbor folks said Grandma kept her house so clean that you could|wipe her floor with a clean handkerchief without getting any dirt on it .|"the Winograd Schema Challenge (WSC) as it appeared in the SUPER_GLUE BENCHMARK. 
            ### INSTRUCTION: The first piece is the Winograd Schema Challenge (WSC) as it appeared in the SUPER_GLUE BENCHMARK. The second piece is the instruction: ""The Harbor folks said Grandma kept her house so clean that you could see the 
            ### INSTRUCTION:"|No (no match)
103||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|the British flag was being raised.|No (not a match)
104||Meanwhile all the people in town are hunting high and low for Arthur and Celeste,|and their mothers are very worried.|The couple are still missing, but the town is in a bit of a panic.|No (no match)
105||Last week,|the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact of ride-hailing apps on traffic.|THE INSTRUCTION: The Winograd Schema Challenge (WSC) is a natural language inference (NLI) task that is a subset of the SuperGLUE benchmark. The task is to be able to answer natural language questions based on a given passage and a hypothesis. The WSC is split into two pieces: a passage and a hypothesis. The first piece of the WSC is a passage that is a natural language sentence that describes a situation or scenario|No (no match)
106||Muriel has in her living room a famous painting of the ballerina Theresa Rubio by Cecile d'Arblay.|It is very characteristic of her later work --- impetuous, almost crude, rather than realistic.|"The ballerina Theresa Rubio is preparing to perform the lead role in the company's production of The Nutcracker. 
            
            How would you finish the sentence?"|No (no match)
107||Claire could not win a single point in her squash game with Lisa this afternoon.|She was just exhausted.|The final answer: it is not possible to tell.|No (not a match)
108||A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries,|and those occasions stood out as red-letter days for him.|"the case of the missing heir to the Barron fortune, Henry had been called in to assist his father in tracing the whereabouts of the young man, 
            ### FULL INSTRUCTION: Henry Barron, a young man living in New York, had been called in to assist his father, a noted detective, in solving a perplexing mystery. The case involved a missing heir to a large fortune. The father had been in contact with several other detect"|No (not a match)
109||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|The horse, Blaze, was white. And Mark was absorbed in him.|No (no match)
110||By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly.|How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.|The woman looked over the edge of her upper berth and saw her mother clearly.|No (not a near-exact match)
111||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|The boys all liked Dave; only Johnny hated him.|No (not near-exact match)
112||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|(Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.)|No (not a match)
113||The Harbor folks said Grandma kept her house so clean that you could|wipe her floor with a clean handkerchief without getting any dirt on it .|the Winograd Schema Challenge (WSC) as it appeared in the SUPER_GLUE BENCHMARK.|No (no match)
114||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|No (not a match)
115||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|"Muriel has a famous painting of a ballerina 
            
            The SECOND PIECE is the exact same as the FIRST PIECE, but with the word ""painting"" replaced by ""instructions""."|No (not near-exact match)
116||Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|### INSTRUCTION: You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces (FIRST PIECE + SECOND PIECE) becomes a single instance. Only rely on the original|"No (near-exact match) 
--- 

Please provide the reference text and the candidate text you would like me to evaluate. I'll be happy"
117||When I got to the house, Mrs.|Everett, the housekeeper, told me that Hermione was in her room, watching her maid pack.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            ### FIRST PIECE: When I got to the house, Mrs. 
            ### SECOND PIECE: 
            ### INSTRUCTION: To complete the Winograd Schema Challenge (WSC) instance, you must provide the second piece of the instance"|"---

Please provide the reference text for the task at hand. I'll be happy to assist you. 

Please note that I'll be providing the"
118||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|The boys all liked Dave; only Johnny hated him.|No (no match)
119||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina painting has been valued at $250,000,000 and is currently on display in the Louvre Museum.|No (not a match)
120||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|The Havasupai Tribe claimed that Laufer's play was inspired by a court case in which the Havasupai Tribe claimed ownership of the Grand Canyon, in which the Havasupai were not the only people to make this claim.|No (no match)
121||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|"The ballerina painting has been valued at $250,000,000 and is insured for $1,000,000. 
            
            The painting has been stolen and replaced with a duplicate. 
            
            The insurance company will not pay out on the policy unless the painting is returned to its rightful owner. 
            
            The owner of the painting has hired a private investigator to find"|No (no match)
122||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|### INSTRUCTION: Mary was the name of the little girl who lived with her grandmother.|No (no match)
123||The cookstove was warming the kitchen,|and the lamplight made it seem even warmer.|the wood fire was burning brightly.|No (no match)
124||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|No (not a match)
125||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|the British flag was being raised.|No (not a match)
126||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|the patient.|No (no match)
127||The cookstove was warming the kitchen,|and the lamplight made it seem even warmer.|the wood was burning.|No (no match)
128||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"the Soviet Union's ambassador to the United Nations, 
            FINAL INSTANCE:Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, was the first person to hold the title of Ambassador to the United Nations."|No (not a near-exact match)
129||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|"The horse whiched him was a chestnut mare, and she was a beauty. 
            
            It took all Mark's willpower to resist the temptation to ride her. 
            
            He was determined to save his money and buy a better horse."|No (no match)
130||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|"The two women sat in the grass, watching the trains as they came and went. They were quiet for a while, just enjoying the sounds of the trains and the prairie. Then Maude spoke up. 
            
            ""I wonder what it would be like to ride one of those trains,"" she said. 
            
            Dora smiled. ""I've always wanted to ride a train. It would be so exciting to ride one of those big"|No (no match)
131||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|The housekeeper sighed with relief and returned to the kitchen to prepare the roast beef.|No (no match)
132||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|"The ballerina painting has been valued at $5 million. 
            
            How much is the entire house worth?"|No (no match)
133||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it .|The final answer: it is not possible to tell.|No (not a match)
134||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|The boys all liked Dave; only Johnny hated him.|No (no match)
135||Last week,|the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact of ride-hailing apps on traffic.||No (no match)
136||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|No (not a match)
137||The Harbor folks said Grandma kept her house so clean that you could|wipe her floor with a clean handkerchief without getting any dirt on it .|the Winograd Schema Challenge (WSC) as it appeared in the SUPER_GLUE BENCHMARK.|No (no match)
138||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|The horse was white, and it was a long time before Mark realized that he was not looking at a horse, but at a man.|No (not a match)
139||Mary offered to give her theater tickets to|Sally because she had to work late that night.|"### INSTRUCTION: Mary offered to give her theater tickets to 
            ### FIRST PIECE: John offered to give his baseball tickets to 
            ### SECOND PIECE: 
            ### INSTRUCTION: John offered to give his baseball tickets to 
            ### FIRST PIECE: The couple offered to give their concert tickets to 
            ### SECOND PIECE: 
            ##"|No (no match)
140||Muriel has in her living room a famous painting of the ballerina Theresa Rubio.|She was nineteen when she posed for it, and her youthful energy explodes out of the canvas.|"(1) Theresa Rubio is a famous American ballerina who was born in San Francisco, California. 
            (2) She began dancing at the age of three and went on to study at the San Francisco Ballet School. 
            (3) In 2016, she made her professional debut with the San Francisco Ballet as a soloist in the title role in the production of The Nutcracker. 
            (4) She"|No (no match)
141||A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries,|and those occasions stood out as red-letter days for him.|"the case of the missing heir to the Barron estate, Henry had been called in to assist in the investigation. 
            
            The pieces of the test split for the Winograd Schema Challenge (WSC) are provided below. The first piece is the FULL INSTRUCTION: A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries. The second piece is the INSTRU"|No (not a match)
142||Muriel has in her living room a famous painting of the ballerina Theresa Rubio by Cecile d'Arblay.|It is very characteristic of her later work --- impetuous, almost crude, rather than realistic.|"The ballerina Theresa Rubio is preparing to dance in the Royal Ballet's production of The Nutcracker. 
            
            How would you finish the sentence?"|No (no match)
143||The cookstove was warming the kitchen,|and the lamplight made it seem even warmer.|the living room was cold.|No (not a match)
144||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|The man in the blue suit was staring at him.|No (no match)
145||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|"The ballerina painting has been valued at $250,000,000 and is insured for $100,000,000. 
            
            The owner of the painting is a billionaire and has asked Muriel to keep it safe for her. 
            
            Muriel is a very trustworthy person and has agreed to keep the painting safe for the billionaire. 
            
            However"|No (no match)
