Index|Label|First piece|Gold|Prediction|Mistral
91||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and couldn't wait to see them in person.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
92||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"Waverly, who was sitting at the desk. The instant he saw Mr. Waverly, Mat 
 ### INSTRUCTION: rushed forward and threw his arms around him, sobbing. ""Oh, Mr. Waverly, 
 ### SECOND PIECE: I'm so glad you're here,"" he cried. ""I was so worried about you. They told me 
 ### INSTRUCTION: you had been injured. I came"|"No (not a near-exact match) 

Note: The answer is based on the provided examples. The correct answer is Yes for Examples 1"
93||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|The housekeeper agreed that there was no reason to panic, and thanked Nancy for her advice.|"No (not a near-exact match) 
        Note: The reference text is a sentence from a larger text, and the candidate text is a"
94||Claire could not win a single point in her squash game with Lisa this afternoon.|She was just exhausted.|Lisa won the game 3-0.|"No (not a match) 
        Note: The reference text does not contain any information about a game or Lisa winning a game. The candidate text"
95||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and thrilled by the sight of them. They had watched the trains for hours, and had even climbed onto the tracks to get a closer look at them. The trains were a source of great excitement and wonder for Maude and Dora, and they couldn't wait to see them again|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate"
96||Muriel has in her living room a famous painting of the ballerina Theresa Rubio by Cecile d'Arblay.|It is very characteristic of her later work --- impetuous, almost crude, rather than realistic.|Muriel has in her living room a famous painting of the ballerina Theresa Rubio by Cecile d'Arblay, which she bought at the Christie's auction for 2500$ after much negotiation.|"No (not a near-exact match) 
        Note: The answer is No because the candidate text is not a near-exact match of the"
97||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|it is also true that Collins helped Dickens develop the character of Ebenezer Scrooge.|"No (not near-exact match) 
        Note: The answer is ""No"" because the candidate text does not match the reference text in terms"
98||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The candidate text does not contain any information about Stalin, Pravda, Grigory Zin"
99||Mr.|Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever projects he started were just more proofs of his innate idiocy.|Brown.|"No (exact match) 
        Note: The candidate text does not match the reference text in terms of content, structure, or contextual similarity. The"
100||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|that she painted when she was a young artist|"No (not a near-exact match) 
        Note: The reference text is a sentence describing a painting by Cecile d'Arblay"
101||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she. He was born in 1965, and she was born in 1980.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
102||The Harbor folks said Grandma kept her house so clean that you could|wipe her floor with a clean handkerchief without getting any dirt on it .|see the dust dancing.|"No (not a match) 
        Example 6:  
        Reference Text: The 2012 Summer Olympics, officially known as the Games of"
103||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|meeting a lady.|"No (exact match) 
        Note: The answer should be only Yes or No. 

        The task is to determine if the candidate text is"
104||Meanwhile all the people in town are hunting high and low for Arthur and Celeste,|and their mothers are very worried.|the two fugitives who escaped from prison and are hiding in the forest.|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$ 

        Note: The provided reference text and"
105||Last week,|the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact of ride-hailing apps on traffic.|"I went to the 
 ### FIRST PIECE: grocery store 
 ### SECOND PIECE: to buy some 
 ### FIRST PIECE: bread, 
 ### SECOND PIECE: milk, 
 ### FIRST PIECE: butter, 
 ### SECOND PIECE: eggs, 
 ### FIRST PIECE: cheese, 
 ### SECOND PIECE: and some 
 ### FIRST PIECE: apples."|"No (not a near-exact match) 

        The final answer is: $\boxed{Yes}$"
106||Muriel has in her living room a famous painting of the ballerina Theresa Rubio by Cecile d'Arblay.|It is very characteristic of her later work --- impetuous, almost crude, rather than realistic.|d'Arblay was born in 1840 and died in 1922.|"No (exact match) 
        Note: The candidate text is not a match to the reference text. The reference text is a sentence describing a characteristic"
107||Claire could not win a single point in her squash game with Lisa this afternoon.|She was just exhausted.|Lisa won the game 3-0.|"No
        
        Reference Text: The company will be responsible for the costs of the project.
        Candidate Text: The company will be responsible for the"
108||A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries,|and those occasions stood out as red-letter days for him.|Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, a number of times.|"No (not a near-exact match) 
        Note: The candidate text does not share the same sentence structure, overlap, or contextual similarity as"
109||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|Blaze, the white horse, absorbed Mark.|"No (exact match does not exist) 
        Note: The reference text does not contain the word ""Blaze"" or ""Mark"", and the"
110||By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly.|How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.|Tatyana could see her mother plainly from the upper berth when she rolled over.|"No (not a near-exact match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of"
111||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. Most of the boys liked him.|"No (not a match) 
        Note: The reference text is a passage from a book, and the candidate text is a sentence from a different"
112||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and couldn't wait to get on board themselves.|"No (not a near-exact match) 

        Note: The candidate text is not a direct copy of the reference text, but it shares similar"
113||The Harbor folks said Grandma kept her house so clean that you could|wipe her floor with a clean handkerchief without getting any dirt on it .|see the marks of her daily scrubbing on the floor.|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The company has been working on a new product,"
114||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she. He was a widower, and she was still young enough to be his daughter. It was not an appropriate relationship, but Bernard was very wealthy and very powerful. He had offered to buy her family's home and give her a large sum of money to leave him alone. She had refused, but she was very lonely and the offer had been very tempting. She had begun to think that|"No (not a match) 
        Note: The candidate text is not a match with the reference text. The candidate text is a completely different story"
115||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|which she painted when she was a young artist|"No (not near-exact match) 

        The reference text is a painting by Cecile d'Arblay, a young artist. The"
116||Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|to do with as you wish.|"No (not a near-exact match) 

        Note: The reference text and candidate text should be identical in terms of sentence structure, overlap,"
117||When I got to the house, Mrs.|Everett, the housekeeper, told me that Hermione was in her room, watching her maid pack.|White was standing at the door.|"No (exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity."
118||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|"No (not a match) 
        Note: The reference text is a quote from the novel ""The Outsiders"" by S.E. Hinton"
119||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina in the painting is wearing a blue tutu and is dancing with a red ribbon.|"No (not a match) 

        Example 6:  
        Reference Text: The company will be launching a new product next quarter, which will"
120||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that a development project would violate their religious rights. The court ruled 
 ### INSTRUCTION: that the Havasupai Tribe did not have a legitimate claim to the land in question. 
 ### Laufer's play was based on this court case."|"No (not a near-exact match) 
 

        The candidate text is a replica of the reference text. The candidate text is a replica of"
121||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina in the painting is wearing a blue tutu.|"No (not a match) 
        Note: The reference text does not mention a ballerina or a painting, so the candidate text is not"
122||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs."|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$"
123||The cookstove was warming the kitchen,|and the lamplight made it seem even warmer.|and the cat was sitting on the counter.|"No (not a near-exact match) 
        Note: The reference text and the candidate text do not share any similarities in terms of sentence structure"
124||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she. He was always so polite and well-mannered, she thought, as he helped her with her coat and escorted her to the door. She had known him since they were children, and he had always been a gentleman. But now, as he leaned in to kiss her goodbye, she felt a thrill of excitement. She wanted to kiss him back, to let him know how she felt.|"No (not a match) 

        Example 7:  
        Reference Text: The company will be held at the same location as last year’s"
125||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|entering a building.|"No (exact match is not possible) 
        Note: The answer is No because the reference text is a sentence with a specific topic, and the"
126||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|the patient.|"No (not a match) 

        Example 6:  
        Reference Text: The new policy will be implemented on January 1st,"
127||The cookstove was warming the kitchen,|and the lamplight made it seem even warmer.|but the dog was barking at the mailman.|"No (not a match) 
        Example 6:  
        Reference Text: The company’s CEO, John Smith, said that the company’s"
128||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The candidate text is not related to the reference text. The candidate text is a completely different topic."
129||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|Blaze, the white horse, became absorbed in Mark.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
130||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. The trains were filled with people and things that were going somewhere, and the engines growled and puffed as they pulled the heavy trains along. The prairie was filled with the sounds of the trains and the wind, and the sun was setting low in the sky, casting long shadows over the trains and the prairie.|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate"
131||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|The housekeeper agreed to tell Nancy what she knew.|"No (not a near-exact match) 
        Note: The original text does not have a reference text. Please provide a reference text for the"
132||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina in the painting is wearing a blue tutu.|"No (not a match) 
        Note: The answer should be only ""Yes"" or ""No"". The response should not include any additional text"
133||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it .|Nell Raleigh was already there when Maude got to school.|"No (not a match) 

        Reference Text: The company will be held accountable for the consequences of its actions.
        Candidate Text: The company"
134||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Johnny was liked by most of the boys, except for Dave, who hated him.|"No (not a match) 
        Note: The candidate text does not contain any information from the reference text. 

        Example 6:"
135||Last week,|the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact of ride-hailing apps on traffic.|"I went to the 
 ### FIRST PIECE: grocery store to buy 
 ### SECOND PIECE: some bread and milk. 
 ### FIRST PIECE: I was surprised to see 
 ### SECOND PIECE: that the store was out of 
 ### FIRST PIECE: bread and milk, 
 ### SECOND PIECE: and also out of 
 ### FIRST PIECE: many other items. 
 ### SECOND"|"No (not a near-exact match) 

        The candidate text is not a near-exact match of the reference text. The candidate text is"
136||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"brothers who live in a small town in the American South. The story focuses on the relationship between the two brothers, 
 ### FINAL PIECE: and the lies they tell to each other and to themselves. The film is a character study of two brothers who are both victim and perpetrator of their own deceptions."|"Yes (near-exact match) 

        The task is to determine if the candidate text is an exact or near-exact match of the reference text"
137||The Harbor folks said Grandma kept her house so clean that you could|wipe her floor with a clean handkerchief without getting any dirt on it .|see the marks of her daily prayer on the wall.|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The company will provide a free trial period of"
138||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|Blaze, the white horse, absorbed Mark.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity"
139||Mary offered to give her theater tickets to|Sally because she had to work late that night.|her friend, but she was out of town.|"No (not a match) 
        Note: The answer should be only ""Yes"" or ""No"". The response should not include any additional text"
140||Muriel has in her living room a famous painting of the ballerina Theresa Rubio.|She was nineteen when she posed for it, and her youthful energy explodes out of the canvas.|Theresa Rubio was born in Paris, France. She began dancing at the age of 12. At age 15, she was accepted into the Paris Opera Ballet.|"No (not near-exact match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of sentence"
141||A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries,|and those occasions stood out as red-letter days for him.|Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, a number of times.|"No (not a near-exact match) 
        Note: The candidate text does not have the same sentence structure, overlap, or contextual similarity as"
142||Muriel has in her living room a famous painting of the ballerina Theresa Rubio by Cecile d'Arblay.|It is very characteristic of her later work --- impetuous, almost crude, rather than realistic.|d'Arblay is a French painter born in 1840, who specialized in depictions of ballerinas. One of her most famous works is the painting of Muriel's living room, which depicts the ballerina Theresa Rubio.|"No (not near-exact match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of sentence"
143||The cookstove was warming the kitchen,|and the lamplight made it seem even warmer.|"but the cat was curled up on the floor, 
 ### FIRST PIECE: so the stove was not warmed by the cat."|"No (not a near-exact match) 

Note: The reference texts are not provided in the prompt. Please use the provided examples to determine the"
144||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"Farnsworth, who was sitting there, and continued until he had reached the 
 ### END of the line."|"No (not a near-exact match) 
        Note: The candidate text does not contain the same sentence structure, overlap, or contextual similarity as"
145||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina in the painting is wearing a pink tutu.|"No (not a near-exact match) 
        Note: The reference text is a sentence with a specific context, and the candidate text is a"
