uID,Context,Prompt,Target
BNC-139,She produced another scroll. ``I have here a petition and I want you all to sign it to show those men in power that the women and children of this country think that slavery is wicked and wrong!'',one of Mr. Harker's relatives was keen to disrupt the cotton industry,Sam wondered what Mr Harker would say if he knew that one of his relatives was so keen to disrupt the cotton industry.
BNC-1399,"Why should a boat be less social than a caravan, for heaven's sake? He 'd never seen Janet drinking out of a can before, either.",it was a great occasion for old Willis,But he mustn't forget that it was a great occasion for old Willis who must be getting on for sixty-live ready to take the knock any day now.
BNC-140,Not rhyming is easier than rhyming. I don't mean art should be as clear as the instructions on a packet of seeds.,the mystifier is deliberately choosing not to be lucid,I'm saying that you trust the mystifier more if you know he's deliberately choosing not to be lucid.
BNC-1401,"Then he grilled the result on a flat stone beside the fire. Thus provisioned, he invited Louise to come to the banqueting hall to celebrate her birthday, though in a very quiet way, he assured her.",Louise must still be suffering on account of her father,He had not forgotten that she must still be suffering on account of her father who had only recently taken his last dive down the well in the Residency yard in the wake of so many of his former patients.
BNC-1404,"It was an extraordinary sensation, floating here in the inky darkness, with moonbeams dancing off the top of the small waves, and the twinkling stars above shining through the moth-eaten blanket of the night sky. It was as if she was all alone - a tiny speck on the ocean, surrounded by a galaxy that seemed to stretch out into infinity.",Laura wasn't the only person swimming in the ocean,Despite being caught up in an almost mystical trance Laura had not entirely forgotten that she wasn't the only person swimming in the ocean.
BNC-1408,"Yet what good came from knowing that a woman had killed herself? The children who had suffered a trauma would survive the experience, scarred by it and a little flawed by it.",for a week the children had imagined the act of murder had been committed,They would never forget that for a week they had imagined the act of murder had been committed.
BNC-141,"Nora calculated that there must be lots of single men up there so she decided it was ideal for the ``manhunt'', as we called it, even though the train fare was a serious consideration. I remember we went up to Euston together one Saturday morning, very excited, to buy the ticket in advance.",Nora was going away alone,It was a secret - if my parents had known she was going away alone they would have soon put the kybosh on it.
BNC-1411,``I 've already got money that I 've saved from Grye's winnings.'' Seb did not amplify his statement.,Christian disapproved of gambling,He had not forgotten that Christian disapproved of gambling.
BNC-1412,"They were baroque symbols reinforcing the lush imagination of the theatre. But the drama on its own wasn't enough, or great performances, or symbols.",it was the audience's patronage and the audience's applause which truly kept the theatre alive,They the audience were what mattered for it should never be forgotten that it was their patronage and their applause which truly kept the theatre alive.
BNC-1430,"Melanie, after a while, began to notch off the weeks in her mind by the appearance of the green-banded china, ``Here comes another Sunday.'' And on Monday mornings, she would look at the little bridge on her willow pattern plate and wish she could run across it away from her Uncle Philip's house to where the flowering trees were.",this was how it would be on Melanie's first morning,But she did not guess this was how it would be on her first morning.
BNC-1431,"His mother driving the car, so happy, young-looking and fashionably dressed and his father, a big, confident man in a smart suit, smiling and turning round to say something to Simon in the back seat. Marie thought of her own mother with her frumpy clothes and ageing, lined face.",Marie's mother was only forty-two,No one would have guessed that she was only forty-two.
BNC-1434,"She felt quite shaky. It had happened before, last night and yesterday morning.",the woman's voice was Timothy Gedge's,She hadn't guessed then that the woman's voice was Timothy Gedge's.
BNC-1438,"They stood in silence, while the sun dipped in the west. And Ruth felt she hadn't understood till now what it meant, to be Jake's daughter.",one day Jake would turn to Ruth like this,She 'd never guessed that one day he would turn to her like this calling her to understand all the past and set her own strength beside his.
BNC-1443,She was still trying to cope with the matter when Oliver said they ought to leave if they were to meet him as planned. On the way they stopped for Rain to buy a silk scarf which complemented her blouse.,Rain was wearing a silk scarf for any other reason,No one would have guessed she was wearing it for any other reason.
BNC-1449,"I want to look dark and menacing. The way I ought to look, the way I should look, the way I might have looked if I hadn't had my little accident.",she had killed three people,Looking at me you 'd never guess I 'd killed three people.
BNC-1450,The English read: It is forbidden to cross the Toacks. That summer I came to know the Toacks - with their roots hooked under the earth's crust.,the Toacks even existed,On the right side of them you'd never guess they even existed but from where I was they were too deep to fathom and too tall to cross.
BNC-1453,The kind of questions Benny never thought to ask but was always interested in the answers. She had never known that her parents met at a tennis party in a county far away.,Father had been apprenticed to another business in the town of Ballylee,She had never heard that Father had been apprenticed to another business in the town of Ballylee.
BNC-1458,``I hope you are settling down and the cat is well.'' This was a lie.,the cat was well,She did not hope the cat was well.
BNC-1463,"She wanted to run her fingers through his hair, wanted to nuzzle her nose and chin into his neck, wanted to know the texture of his cheek and jaw, wanted to kiss him so that her lips never forgot the shape of his. Then she found she was doing all this already, and a sigh of utter contentment shivered through her.",a kiss could feel like this,She had never imagined that a kiss could feel like this that a man's arms could enclose and shield her so thoroughly against any other awareness that her body would respond so passionately and so completely from the roots of her hair to the backs of her knees.
BNC-1464,"Why should I think that? It's your first time on a horse, for Pete's sake.",he hasn't landed on his backside before today,And please don't imagine that I haven't landed on my backside before today.
BNC-1466,"``You will see the house, child. You will see where he lived and worked and then we will discuss the future,'' Marguerite said with a finality that left Jenna astonished.",Marguerite could be at all assertive,She hadn't imagined that this woman could be at all assertive but she was being exactly that now and Alain had so far said nothing at all.
BNC-1467,Jane ate without pausing. Hunger was an unknown experience.,hunger could actually hurt,She had never imagined it could actually hurt.
BNC-1468,"``Don't think I'm going to pluck it and cook it,'' said Betty. ``If you're going to eat it you 'll have to do it all yourself.''",Betty would touch the pheasant,Lydia had not imagined or expected that Betty would touch the pheasant.
BNC-1472,"``You speak calmly, but I know you're suffering.'' ``You are original,'' he said, looking surprised.",men and women could discuss such deep feelings together,He had clearly not imagined that men and women could discuss such deep feelings together.
BNC-1473,"Juliet drew in her breath as she gazed at it. She had always imagined Nigel's home to be large, but this was immense!",publishers could be as wealthy as this,She never imagined publishers could be as wealthy as this!
BNC-1474,"Miss Martindale had had a school, but her rigid ideas and stern manner had frightened the children, and their parents had taken them away. And gradually the school declined, until she had to give it up and retire to end her days in the white cottage with the inevitable cat as her only companion.",digging was such hard work,Breeze had never imagined that digging was such hard work.
BNC-1475,"Had Nigel noticed she 'd left, or hadn't he missed her at all? If he had been aware that she 'd gone, he would probably have assumed that someone else had taken her home.",Nigel would have worried about it,She didn't imagine he 'd have worried about it.
BNC-149,``You don't need to worry. We're quite adequately chaperoned. Rosa is a woman of strict moral principles.'',he's in here,If she knows I'm in here she's probably hovering outside the door right now.
BNC-1498,"``He's harmless, quite afraid of me.'' It brought a very visible relaxing of attitudes that quite surprised Maggie.",Maggie had the need to act in her,She didn't know she had it in her but she had felt the need to act.
BNC-1499,"For Syl I felt no sympathy, since if he was fool enough to want me he deserved none. In the course of time I would die and then it would all be over.",she was empty of everything except perhaps madness,We went to the theatre and to dinner and I believe I must have talked and as I have said I know I sometimes laughed and I think no one ever knew that I was empty of everything except perhaps madness.
BNC-15,"He hadn't recognised the ageing, twisted features of Pat Weaver, as the man on the bike had cycled lazily past. Nor had the CI5 man who was trailing Stone... Minutes before, as Stone had slipped surreptitiously from his house, his furtive movement had been picked up by Dan Monteith, stationed at the front of the house, concealed in a neighbouring garden.",Stone had slipped quietly away to the phone box,If Stone believed he had slipped quietly away to the phone box he had underestimated - or forgotten - the pursuit abilities of CI5.
BNC-1500,She hated to think of his sister lying in hospital waiting for her husband to come to her while all the time he was with Dana. She gripped her hands tightly together.,Berenice was in danger of losing her child,Dana didn't know Berenice was in danger of losing her child.
BNC-1502,I said you were mad to come over at this time. It's a world event.,Venice is packed with visitors,Don't you know that Venice is packed with visitors?
BNC-1507,"And what she had said, and went on saying quietly, calmly, efficiently, was that she loved Maggie. She paid attention.",Maggie's grandmother was famous,At eight Maggie had not known that her grandmother was famous but she had seen that people had something in their manner when they looked at Rachel.
BNC-1508,"They pretended that what was happening was not happening, and if it were to happen, it would certainly never happen to the likes of them. ``It is wise to bear in mind how vastly superior is the individual over all the political institutions and social mechanisms which oppress him!''",liberal humanism was powerless in the face of fascism,They did not know that liberal humanism was powerless in the face of fascism.
BNC-1512,"Tess used to rest her head on the cow's body, her eyes fixed on a distant field. The sun shone on the beautiful lines of her face.",Clare had followed Tess around and sat watching her,She did not know that Clare had followed her round and sat watching her.
BNC-1519,"He swam away and Adam swam away and very soon after that they came out of the lake and went back to Mary on the terrace. A disturbing experience it had been, exciting and confusing.",Adam carried within his mind a directory of the forbidden,Adam had not known he carried within his mind a directory of the forbidden.
BNC-1524,Only Mr Jemps accepted. Red lit one for himself.,Red smoked,I had not seen him smoke before and did not know he did.
BNC-1526,"But in the end I saw that Frejji was right - that Mala and I could probably stay unrecognized in the midst of a typical Uulaan carnival. And there were a couple of other things, I told myself reassuringly, that to tip the balance back a little towards our side.",she was on Uulaa,First I knew that they were on Uulaa - but they wouldn't know I was.
BNC-1528,"She thought that he 'd not started to drink, but might at any moment. ``Tea's better for you than that stuff,'' she said pertly, as pert as the chit Angela Macleod had called her.",Neil's anger and disgust with his old love had been fuelled more by her unpleasant reference to McAllister than anything else she had said to him,She did not know that Neil's anger and disgust with his old love had been fuelled more by her unpleasant reference to McAllister than anything else she had said to him.
BNC-1529,"He turned his horse time and again, and went ploughing through the thickest of the struggle with bared sword, exchanging strokes with any who cared to stand and debate with him. Time did not exist for him now, as long as any challenged him.",most of the Scottish host had already cast off everything that weighed it down,He did not even know that most of the Scottish host had already cast off everything that weighed it down and taken to flight acknowledging the truth of this meeting.
BNC-1530,"Her heart leaped into her mouth, and she paused. It was one thing imagining the scene from the comfort of her London flat but quite another to find herself going through with it.",it was Veronica's house,It occurred to her that she didn't even know that it was Veronica's house.
BNC-1533,Fernando's escaladun had been wonderful last night and not direct from the freezer. All his own work.,Fernando was a good cook,She hadn't known he was such a good cook... She paid her bill and wandered back to where she had parked the car in a shady spot under an orange tree in a square - She didn't know a lot about Fernando Serra she realised with a dull bumping of her heart.
BNC-1534,"The nurses were well trained in dealing with rich patients who were used to doing as they pleased and often disliked accepting the discipline of routine. They knew that the very old, the alcoholics, and the more than slightly batty patients (called ``eccentric'') had to be carefully supervised.",this old dear was a long-term patient,This old dear who was to be kept under heavy sedation clearly didn't know that she was a long-term patient being treated for depression.
BNC-1535,"Ruth looked down, utterly unable to meet his eyes. Yet it was unjust, this anger.",Ruth's magic would call the half-mortals,She hadn't known her magic would call the half-mortals - she 'd never meant it to.
BNC-1538,"There were three women before her, none of whom was dressed in black. So much detail was not available to her then but she would have agreed to it all and later she would be able to describe more of the room, the contents of the cabinets, even the names of the people represented in the photographs on top of the piano.",this was the first of many visits to this room,She did not know then that this was the first of many visits to this room.
BNC-1541,We start by assuming that the telephone call to Mrs. Bidwell and Lorrimer's death are connected. That means the call was made by the murderer or an accomplice.,Mr. Lorrimer's appointment had been cancelled,We 'll keep an open mind about the caller's sex until we get confirmation from Bidwell but it was probably a woman probably also someone who knew that old Mr. Lorrimer was expected to be in hospital yesterday and who didn't know that the appointment had been cancelled.
BNC-1545,"They 'd seen Miss Lavant on the promenade and about the town, always walking slowly, sometimes with a neat wicker basket. Kate had often thought she was beautiful.",Miss Lavant was in love with Dr Greenslade,She hadn't known she was in love with Dr Greenslade who had a wife already and three children.
BNC-1548,"Kate sipped her drink. ``If the Chief Constable knew that I was seeing Patrick, all hell would break loose.''",the Chief Constable knew all about Kate and Kelly,Kate didn't know that the Chief Constable knew all about her and Kelly.
BNC-1553,Did he intend everyone in the castle to know he did not want the wife he had married in such a hurry? Did he intend to ignore her completely?,Isabel had spent the night alone,Then Isabel saw Ellen's stunned face and realised that her maid at least did not know she had spent the night alone.
BNC-1554,"Eve hadn't known that Mr Burns in the hardware shop was inclined to take to the drink or that Dr Johnson had a very bad temper and was heard shouting about God never putting a mouth into the world that he didn't feed. Dr Johnson was of the view that there were a lot of mouths, especially in the families with thirteen children, that God had forgotten to feed.",Peggy Pine was an old friend of Mother Francis,Benny didn't know that Peggy Pine was an old friend of Mother Francis that they had been girls years ago and that when she came to the convent she called Mother Francis Bunty.
BNC-1558,"But then he asks himself if people would have enjoyed the story any more had it been true, and if they would have achieved any greater insight into themselves and their destinies. Of course not.",the story wasn't true,In any case they don't know it wasn't true.
BNC-1559,What on earth did I think I was playing at? The people back at the hotel didn't know me.,she wouldn't steal money like that,They didn't know I wouldn't steal money like that.
BNC-156,"The one does not exclude the other. Surely Ben would understand that, if Lou explained it properly?",she existed at all,Ben spent so much time playing computer games barely pausing to eat that lately I 'd sometimes wondered if he knew I existed at all.
BNC-1566,"I didn't know they were Twenty-fourthers, I just thought they were people wearing one shoe.",the Twenty-fourthers were after Hasan,I didn't know they were after Hasan.
BNC-1599,"Nevertheless I can't do that. Melanie or not, it was still in confidence.",Melanie was still there last night,All I can say is that I didn't even know Melanie was still there that night.
BNC-1601,I don't know what I envisaged happening once I 'd parted you and Peter. That I would step into the gap maybe.,he could feel machiavellian,I was positively machiavellian - I never knew I could feel like that.
BNC-1606,"And O said to me, the thing was. I couldn't remember.",he still had her address,I didn't even know he still had my address it all happened years before we barely even had an affair.
BNC-1607,``What fun to hear Artemis laugh. She's such a serious child.'',Artemis had a sense of humour,I didn't know she had a sense of humour.
BNC-1615,"He pulled up in fourth gear at the foot of the balustraded stone steps which led up to the solicitor's office. Totteridge, Spruce and Hardnut, Commissioners for Oaths, said the brass plate.",car doors do not need the same sort of treatment as those of railway carriages,He took the scuffed leather document case off the seat beside him and banged the door shut with the violence of someone who had not learned that car doors do not need the same sort of treatment as those of railway carriages.
BNC-1616,"``We,'' said Lili, ``have just managed to force down sufficient amounts of fresh veg and protein to retain some shapeliness and complexion.'' I found it odd that Robert had chosen to distinguish me alone as English and wondered how he saw himself and Lili and I found it odd that Lili had chosen to lay claim to Englishness.",Lili was able to change her nationality as she changed her accessories,I hadn't yet learned that she was able to change her nationality as she changed her accessories to suit the occasion.
BNC-1620,"Most of them young, about his age, stood and talked and drank and laughed. The two girls he had noticed earlier were standing talking to some other girls.",Graham was gay too,Graham hoped they all realised that just because he was standing talking to Slater that didn't mean he was gay too.
BNC-1621,"``I know the one. Yes, it was good though I say it myself.''",she has to be involved in this kind of nauseous business,But that doesn't mean I have to be involved in this kind of nauseous business.
BNC-1628,"After all, it was only a season ago that we were last relegated, but the spirit within the club is such that we can bounce right back, of that I am sure. Personally, I take some comfort in knowing that I in no way contributed to our exit from Division Two.",his commitment is less than 110 percent,When I took over the ``Whads'' were already twenty points adrift from the rest of football and while not seeing myself beyond blame entirely my denial of any involvement in our downfall does not mean my commitment is any less than 110 per cent.
BNC-1631,"Shannon knew she was being excluded from the conversation, though there was absolutely no evidence of that. She gave herself a mental shake.",Marianne was trying to shut Shannon out,Marianne was simply like many other egocentric actresses she 'd met - interested more in herself than in anything else - but that didn't necessarily mean she was trying to shut Shannon out.
BNC-1633,"He said that maybe I wasn't ready to join the Party just yet. Terry's passion for equality appealed to my purer mind, and his hatred of existing authority appealed to my resentments.",he wanted to be treated like everyone else,But although I hated inequality it didn't mean I wanted to be treated like everyone else.
BNC-1635,"``A shared taste. I ought to tell you, they did talk to me about him, it can't be news to you what they are saying, that Michel has run off with your mother and that he wants to marry her.''",she is convinced,Which doesn't mean that I am convinced I would never rely on Rosie-Posie's gossip alone.
BNC-1636,Until I can persuade her to unbind me - or make contact with Mephistco and convince someone back at base to forgive me my trespasses just long enough to do an override - I am confined inside the plane of reflected light. But - hoo-ha!,he has to stay in one particular mirror,But - hoo-ha! - this does not mean I have to stay in one particular mirror.
BNC-164,Flaubert delighted in their presence and gave them money. No doubt you wish to pat him on the head for this.,Flaubert was gaining the approval of the future,If he 'd known he was gaining the approval of the future he 'd probably have kept the money to himself.
BNC-1640,"``Oh, my poor Folly... We 've been together for five years, Lexy and I - she practically holds that company together. Of course I gave her an ``A''.",he is having an affair with Lexy,But that doesn't mean I'm having an affair with her.
BNC-1642,"And I resent what happened to my flat. A couple of guys think they can stake it out and wait for me, rub their filthy fingers on my clothes, piss in my bathroom, and I'm supposed to ignore it.",he will surrender his possessions to a pair of punks,I know what I said about possessions being like leeches but that don't mean I 'll surrender them to a pair of punks.
BNC-1643,"For a long time she had been unaware of anything lacking, but recently she had started feeling somehow... adrift. Ashley frowned.",Ashley was prepared to throw herself headlong into a relationship with the first half-decent male who happened by,This did not mean she was prepared to throw herself headlong into a relationship with the first half-decent male who happened by.
BNC-1645,"That was then, and then's gone. It's now now.",she has done a sudden transformation,I don't mean I 've done a sudden transformation.
BNC-1648,You know in a funny sort of way he was really rather prim. There was once some heroin floating round the college and there were two students who were the pushers that's the phrase for them I think - and they were both beaten up.,the two students were just knocked about a bit,I don't mean they were just knocked about a bit... they were smashed stitches and a fractured jaw for one severe abdominal bruising for the other.
BNC-165,"But there was little chance of discovering who had killed him without help. Kelly decided that she had to talk to Annie, even if there was a risk that she would tell her husband.",Bill's apprentice was turning supersleuth,Bill would have a fit if he knew his apprentice was turning supersleuth.
BNC-1656,"``Here's three pence for you for a lolly if you 'll go.'' ``All right, then,'' agreed Peggy, her pout disappearing at once.",a little troubled crease appeared on Peggy's mummy's forehead,She did not notice that a little troubled crease appeared on her mummy's forehead.
BNC-1659,This was the back of the shelter. It had an emergency exit which they all had a go at unbolting.,Willie's knees were being licked,Willie was so absorbed that he didn't notice that his knees were being licked and unconsciously he rested his hand on the back of Sammy's neck.
BNC-1660,"He left his own number, calling himself Alain - the name of her Malaysian-French ``business manager''. The next day Gina rang.",it was Gina's own number,She had obviously not noticed that it was her own number.
BNC-1661,"``Perhaps,'' said Neil. ``Her name is Maybelle Foy - Stair says that she is not very pretty, but is enormously rich.''",McAllister had gone very still,For once Dr Neil engrossed in drinking his coffee did not notice that McAllister had gone very still.
BNC-1664,"Nevertheless, her heart sank at the thought of spending an evening with him in his present state of mind, and she was tempted to invent a sore throat in order to get out of it. But he had been very helpful over the Puddephat business, she admitted to herself, and his moods were unpredictable - he might be on top of the world by the time he arrived at the cinema.",something was amiss,``I'm still keen if you are '' she said brightly pretending she had not noticed anything was amiss.
BNC-1665,"The birthday party was of a kind which Cecilia would have wondered at, had she been invited to it, for although a few of Bienvida's classmates were present in its early stages, by seven it had become a celebration for the grown-ups. Bienvida and Jasper were of course still there.",Bienvida had at some stage gone back to the Headmaster's Flat,No one noticed that Bienvida her grandmother's granddaughter more than her mother's child had at some stage gone back to the Headmaster's Flat and changed into dungarees to keep her Oxfam dress of nylon organza from getting dirty.
BNC-1667,"What must it be like to be imprisoned here, day after day, month after month? I wonder, does he keep them chained and manacled, thought Fenella, or does he use sorcery?",Fenella was weighing sorcery against steel chains,And so utterly immersed was she in this strange blue and green land that was not feeling strange any more that she did not even notice that she was weighing sorcery against steel chains and seriously considering the likely outcome.
BNC-1671,"Strasbourg, Vienna, Bucharest, Istanbul, not stopping, not looking back. I saw her tossing newly gauffred curls as the open roadster headed east, away from Ollie... Temporarily I managed to re-erect my jocular facade, but inside I was panicking.",he has given up the weed,He could take her away I thought he could just do that he has such power to hurt me this little furry creature who hasn't even noticed that I 've given up the weed.
BNC-1672,"It - the tractor, the boys and the bulbs in the earth - knew she had chosen for them and was coming back to them. Of course there was still love, there was healthy, growing love and its name was called Work.",falling in love had happened,She had fallen in love with it so slowly and gently and sweetly that she had never noticed it had happened.
BNC-1673,"``I just want to show you something.'' He took her protesting hand, and laid it on a thick roll of tablecloths between their bodies.",the thick roll of tablecloths was there,She had been so busy avoiding touching him she had not even noticed it was there.
BNC-1674,"After the twelfth dot, two thirds of the way down the page, the transcript of this long session tails away into blank paper. I suppose what's happened is this.",the tape had run out,He has gone on staring out of the window thinking and she has gone on staring at him waiting with such absorption that neither of them noticed the tape had run out.
BNC-1675,"Now that he knows it's himself he can't help noticing the slightly ridiculous and embarrassing qualities - the way the young man frowns importantly as he talks about his job, and waves his arms about when he gets stuck for words. And the way he smiles insincerely at Howard from time to time, and looks straight into his eyes in an effort to demonstrate that he is interested in Howard as well as himself.",Howard is himself,But since he never even notices that Howard is himself Howard takes this with a pinch of salt.
BNC-1676,She wouldn't shed tears over that... that brute. He didn't deserve her love - he was utterly hateful.,Water Gypsy was no longer under way,Immersed in her misery her fight for self-control she didn't notice that Water Gypsy was no longer under way.
BNC-1677,"And, such is trust, they went on seeing it after it had gone, for by now they were used to the constant and bewildering ebb and flow of Stevenson money. Each banker took it to be part of some Brand strategy of which he was privileged to see, and be entrusted with, but a small portion.",there was now more ebb than flow,They did not notice that there was now more ebb than flow.
BNC-1680,"``His name is Matthew Blake,'' Mandy informed Charity as they descended the steps from their cabin on to the paved pathway that led to the lodge.",Charity had changed from the blue wrap-around skirt,Thankfully she hadn't even noticed that Charity had changed from the blue wrap-around skirt and was now wearing red shorts with her white silk blouse.
BNC-1681,"``Black and White Danish Dairy! Nothing near as tasty and tender as our...'' and, her mouth overflowing with steak, beans and croquette potato, Mitzi named an Austrian breed Elisabeth had never heard of (and did not imagine she would need to remember for future use).",Elisabeth was not replying,``I like my steak burnt to a cinder on the outside and blood red and juicy at its heart...'' Absorbed by loving considerations of her tastes Mitzi did not notice that Elisabeth was not replying and her attention was drawn to her companion only when the peculiar noise of the latter's choking was sounding right round the Hall.
BNC-1682,She was very tired. Every day that week she had got up at five.,they were riding off the main road and into The Chase the oldest wood in England,So she did not notice that they were riding off the main road and into The Chase the oldest wood in England.
BNC-1683,"``These ` ere smugglers is a dangerous bunch from wot I 've ` eard!'' ``If only we could devise a safe way of laying our hands on all that money,'' murmured Pugwash, whose greed was as proverbial as his cowardice.",the pirates were being observed from the window above by none other than the new Mayor and his entourage,And the pirates were so busy discussing the problem and what they would do with the reward if they won it that they didn't notice that they were being observed from the window above by none other than the new Mayor and his entourage.
BNC-1688,``What do you mean she disappeared?'',Karel was repeating himself,It was a measure of his upset that Karel didn't even notice he was repeating himself.
BNC-1694,"Ockleton, Morpurgo, Cornelius, Dysart and half a dozen others too drunk to mention. But there was so much coming and going that any one of us could have slipped out, pushed Everett through the window and slipped back again without being noticed.",Everett was missing,Damn it all we didn't even notice Everett was missing until a porter tripped over him in the quad so anything's theoretically possible.
BNC-1697,You 've always made it quite clear that you were staying here and that I could fuck off to the other end of the world for all you cared. You're too busy to speak some days.,she has gone,You won't even notice I 've gone.
BNC-1699,"He had come to entertain serious doubts about it himself. He, too, suffered from an occasional enlightening vision which came to him from the dim past and which he must have suppressed at the time... The extraordinary array of chains and fetters, manacles and shackles exhibited by Birmingham for export to America's slave states, for instance... Why had he not thought more about such exhibits?",science and industry were good in themselves,Well he had never pretended that science and industry were good in themselves of course... they still had to be used correctly.
BNC-1707,"Powerlessness. Hope and no-hope, both at the same time.",this doctoring business came as a total surprise,Well I can't pretend that this doctoring business came as a total surprise.
BNC-1713,My reading might be pointless in terms of the history of literary criticism. But it's not pointless in terms of pleasure.,lay readers enjoy books more than professional critics,I can't prove that lay readers enjoy books more than professional critics.
BNC-1716,Martha made no answer. She could not tell them that she was desperately in love with Bob Lamb.,Bob's interest lay with Sarah Butler,She knew that Bob paid her no attention but did not realise that his interest lay with Sarah Butler down at Cherry Tree Farm.
BNC-1722,"``And somehow it seems to fit in with this landscape too - perhaps it's the sense of space...'' ``Perhaps,'' he agreed before lapsing into silence, but not before she 'd seen his face reflect the pleasure he 'd experienced at her instant recognition of what was clearly one of his favourite recordings. ``Well, we 've arrived!''",the car had turned into a short driveway to stop outside a luxurious chalet-type building set in a clearing of beech trees,She 'd been so immersed in the music letting it wash over her uplifting her that she hadn't even realised that the car had turned into a short driveway to stop outside a luxurious chalet-type building set in a clearing of beech trees.
BNC-1724,"``Lucky you. Well, she's found them some rooms in Tewkesbury, and she wants Hayley to go back.''",Hayley was so ill and could die.,She didn't realise Hayley was so ill and could die.
BNC-1725,"Ruth found herself in his arms, her face against his broad chest - as if she were a little girl again, in the time before she 'd known he was crazy.",Ruth remembered that time,She hadn't realized she remembered that time.
BNC-1730,``Please don't! I'm terribly sorry.'',it was a girl,I thought it was - I didn't realise it was a girl.
BNC-1748,"His hair was white, as my daughters reported when they went to view the body before it was given to the Odonata. Now he is known as The Man Who Changed the World, and there are statues to him everywhere.",The Man Who Changed the World had a younger brother,No one remembers he had a younger brother.
BNC-1750,"Oh, I did, I did! I was lucky.",she was ever lonely,I would have liked brothers and sisters but I don't remember that I was ever lonely.
BNC-1756,"But even as he spoke he doubted if Excepcionales Chicas would, when the plain Excepcionales was a stand-by, his favourite being Albeans or Invincibles. She turned and faced him again and on a high note she said, ``We have a few Dominicoes.''",the few Dominicoes were a sample of five,She did not say it was a sample of five.
BNC-1761,"A pity. For myself, a great pity.",Bishop Malduin has not received latitude,But no one can say Bishop Malduin has not received latitude.
BNC-1762,He said his name was Paul Berowne. I'm afraid it didn't mean anything to me at the time.,Paul was an MP or a baronet,He didn't say he was an MP or a baronet nothing like that.
BNC-1763,"``Oh, yes. It's just that it would have been nice to have seen the signs,'' said Caspar, rolling the maps up and packing them in his saddle bag.",Casper hoped Floy and Snodgrass were all right,He did not say that he hoped Floy and Snodgrass were all right because he did not think he had to say it.
BNC-177,It can't really be alive. It's not really about to bite me.,there was a monster about to bite her,Dorcas wouldn't have brought me in here if he knew there was a monster about to bite me.
BNC-1771,I was very surprised by all this.,she was going too,Holmes had told Stapleton that he would return to London but he had not said that I was going too.
BNC-1776,"The curtain twitched and the Company Manager, Wallas Ward, resplendent in midnight blue dinner jacket, appeared through the centre. ``Ladies and gentlemen, I regret to have to inform you that, due to an accident to Mr. Banks, we will be unable to continue the performance.''",the accident which had befallen Mr. Banks was death by shooting,He did not say that the accident which had befallen Mr. Banks was death by shooting.
BNC-1780,"Lucie was teaching Gabriel the verses. From the Creation of the World to Doomsday itself, he spoke them over, and sometimes he would recite in French.",Lucie was teaching,He never said he was teaching or asked Gabriel what he had learned at the end.
BNC-1782,Mr Blakey raised his head from his seed-boxes. With soil-caked fingers he drew a handkerchief from a pocket and blew his nose.,a week ago the boy had been standing under the monkey-puzzle in the middle of the night,He did not say that a week ago the boy had been standing under the monkey-puzzle in the middle of the night looking up at the windows of the house.
BNC-1785,"``Do you understand?'' ``Yes,'' said Ruth after a gap.",Rachaela would leave the child alone as much as possible,Rachaela did not say she would leave the child alone as much as possible and that she in turn would expect to be left alone.
BNC-18,He has been told simply that I object to marriage with Artai.,she has exhibited preference for his person above that of the others,If he believes that I have exhibited any preference for his person above that of the others who have offered for my hand then he is a fool.
BNC-1816,"I thought about his notion that ``alien'' was just another way of saying ``devil'', or that Old Mother Walsh and her snake weren't, actually, any more real, although just as powerful, as Argol and the things from Tellenor. It didn't stand up.",he knew what was happening,I don't say I knew what was happening but whatever it was it was real.
BNC-183,"He asked to be put through to Alexandra's desk and was disconcerted when the voice wanted to know who was calling. ``Uh - Matthew Prescott, Cadogan's, Art Dealers,'' he said, too flustered to give a false name.",the person calling was Matthew Prescott,He hoped he at least sounded businesslike as though it were not a private call and realized immediately that Alexandra would refuse to take the call if she knew it was him.
BNC-1833,"I suppose it was all to do with origins, sergeant. I started from the bottom - a poor family, elementary school, then night school while I was working as a clerk.",they were happy days,I can not say that they were happy days but they taught me what life is about.
BNC-1834,"They look at Riva, she looks at them. Everybody blushes so hard you'd think there were roses round the cottage door.",she is enchanted with this sugary scene,I can't say I'm enchanted with this sugary scene.
BNC-1840,"She may fall ill, or have an accident while you were out, or set the house on fire and herself, so that you would not want to leave her even to go shopping. Once with you, you would not get rid of her easily, I feel it in my bones.",he was writing until he has now started,Neither of us has talked about it and I had not said I was writing until I have now started but your father says he lay awake nearly all night thinking about it.
BNC-1866,Her priggishness. I admire it.,Mr Knightley is a man in a million,I know she does wrong things she tries to organize other people's lives she can't see Mr Knightley is a man in a million.
BNC-1874,"All that happens in Howe's whiny drama is that the daughter finds out her flamboyant, selfish mother has a tough row to hoe, as her father is declining into senility. (An understandable state, since he is described as having ``led the way'' for Robert Frost - whose revered poetry is misquoted - which would make him at least 110).",there is something unpleasant in the characters of the husband and daughter,The play never suggests there is anything unpleasant or even tough in the characters of the husband and daughter - hardly credible of two huge successes in art and literature.
